"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,3.52732636749969e-10,0
1908,3.52732636749969e-10,0
1909,3.52732636749969e-10,0
1910,3.52732636749969e-10,0
1911,3.52732636749969e-10,0
1912,3.52732636749969e-10,0
1913,3.52732636749969e-10,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5.90213782609388e-10,0
1928,5.90213782609388e-10,0
1929,5.90213782609388e-10,0
1930,5.90213782609388e-10,0
1931,5.90213782609388e-10,0
1932,5.90213782609388e-10,0
1933,5.90213782609388e-10,0
1934,0,0
1935,0,0
1936,2.46177808297229e-09,0
1937,4.07391897994103e-09,1
1938,4.07391897994103e-09,1
1939,4.07391897994103e-09,1
1940,4.07391897994103e-09,1
1941,4.07391897994103e-09,1
1942,4.9714855089787e-09,1
1943,2.50970742600641e-09,0
1944,8.97566529037671e-10,0
1945,8.97566529037671e-10,0
1946,3.95253131811403e-09,1
1947,3.95253131811403e-09,1
1948,3.95253131811403e-09,1
1949,3.05496478907636e-09,1
1950,3.59115626125117e-09,1
1951,4.12367061132711e-09,1
1952,4.12367061132711e-09,2
1953,1.06870582225075e-09,0
1954,1.06870582225075e-09,0
1955,1.06870582225075e-09,0
1956,1.06870582225075e-09,0
1957,5.32514350075936e-10,0
1958,4.04578180481151e-10,0
1959,4.04578180481151e-10,0
1960,4.04578180481151e-10,0
1961,1.33070624360901e-09,0
1962,3.2952065520675e-09,1
1963,5.18884874749810e-09,2
1964,5.18884874749810e-09,2
1965,5.71422763075345e-09,2
1966,6.9823591353213e-09,3
1967,9.4288874485926e-09,4
1968,9.20755300575544e-09,4
1969,8.69892722933839e-09,4
1970,7.16895222550664e-09,3
1971,7.52838052215615e-09,3
1972,7.67559774469565e-09,3
1973,6.40746624012780e-09,2
1974,4.89316733163849e-09,2
1975,4.18837371134779e-09,2
1976,3.3011583942612e-09,2
1977,4.26227529461341e-09,2
1978,3.9028469979639e-09,2
1979,4.69984197591446e-09,2
1980,5.14447979454198e-09,3
1981,4.21225038975998e-09,2
1982,4.6048396524461e-09,3
1983,4.75096911018673e-09,3
1984,3.42618501823568e-09,2
1985,3.58759261980574e-09,3
1986,2.16309387861863e-09,2
1987,1.99036804498271e-09,2
1988,2.9284538762196e-09,3
1989,3.3231349814779e-09,3
1990,3.11375792610186e-09,3
1991,4.18680738491415e-09,4
1992,4.74278796395008e-09,5
1993,5.52717562988089e-09,6
1994,6.15155132388523e-09,7
1995,5.73903752298932e-09,7
1996,5.60751480170398e-09,7
1997,6.47731385987933e-09,8
1998,7.31734149463291e-09,10
1999,9.06117079781309e-09,14
2000,9.29355188044363e-09,20
2001,1.00281431254195e-08,22
2002,1.13789672129272e-08,27
2003,1.18608359165963e-08,32
2004,1.18976130217671e-08,35
2005,1.12127828609333e-08,31
2006,1.01434018525851e-08,31
2007,9.877857202824e-09,34
2008,9.04809737848186e-09,37
2009,8.26219009082101e-09,38
2010,7.91079159321941e-09,39
2011,7.0429419518625e-09,43
2012,6.82869233381567e-09,52
2013,6.7483065207303e-09,52
2014,6.19394133205553e-09,56
2015,5.98174111434067e-09,44
2016,5.75376668135849e-09,38
2017,5.7954736334039e-09,47
2018,6.19277496505255e-09,47
2019,5.9664734056164e-09,45
