"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,7.30796819884258e-10,0
1932,7.30796819884258e-10,0
1933,7.30796819884258e-10,0
1934,7.30796819884258e-10,0
1935,7.30796819884258e-10,0
1936,7.30796819884258e-10,0
1937,7.30796819884258e-10,0
1938,0,0
1939,9.65538379408112e-10,0
1940,9.65538379408112e-10,0
1941,9.65538379408112e-10,0
1942,9.65538379408112e-10,0
1943,9.65538379408112e-10,0
1944,9.65538379408112e-10,0
1945,9.65538379408112e-10,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,1.21373450972279e-09,0
1959,1.21373450972279e-09,0
1960,1.21373450972279e-09,0
1961,1.21373450972279e-09,0
1962,1.21373450972279e-09,0
1963,1.21373450972279e-09,0
1964,1.21373450972279e-09,0
1965,0,0
1966,0,0
1967,6.11632078317825e-10,0
1968,6.11632078317825e-10,0
1969,9.75600711328184e-10,0
1970,2.43026947772356e-09,1
1971,3.50855436767209e-09,1
1972,3.50855436767209e-09,1
1973,3.50855436767209e-09,1
1974,2.89692228935426e-09,1
1975,5.27634951603367e-09,2
1976,4.91238088302331e-09,2
1977,3.45771211662793e-09,2
1978,2.3794272266794e-09,1
1979,2.3794272266794e-09,1
1980,2.3794272266794e-09,1
1981,2.80113862264183e-09,2
1982,4.21711395962429e-10,0
1983,4.21711395962429e-10,0
1984,7.53283308745673e-10,1
1985,1.88313647215515e-09,1
1986,2.78247756581505e-09,2
1987,3.32630153579824e-09,3
1988,3.03860240144108e-09,3
1989,3.1698141333969e-09,3
1990,3.54887284638648e-09,4
1991,4.88648902293879e-09,5
1992,3.87620055894037e-09,4
1993,7.23996971104971e-09,8
1994,7.03225361275983e-09,8
1995,8.15961421445672e-09,10
1996,8.21575894617764e-09,10
1997,7.90218645677473e-09,10
1998,6.23299836743918e-09,8
1999,6.11343366802813e-09,9
2000,1.90269625452036e-09,4
2001,2.0942256817591e-09,5
2002,8.83566228119089e-10,2
2003,1.06024702509596e-09,3
2004,1.27715835129827e-09,4
2005,1.34539429200561e-09,4
2006,1.4966808645608e-09,5
2007,1.55867894781535e-09,5
2008,1.25993281680741e-09,5
2009,1.37556516970656e-09,6
2010,1.13951686182239e-09,6
2011,1.04368095911665e-09,6
2012,1.07110514505468e-09,8
2013,1.40632445569785e-09,11
2014,1.37932238250141e-09,13
2015,1.22404607481665e-09,9
2016,2.08896754259692e-09,14
2017,2.28780835479873e-09,19
2018,2.48418371984194e-09,19
2019,2.93782442817303e-09,22
